Label,Date
Declaration of American Independence,07/04/1776
French Revolution begins,07/14/1789
First powered flight by the Wright Brothers,12/17/1903
End of World War I,11/11/1918
Stock Market Crash of 1929,10/29/1929
Attack on Pearl Harbor,12/07/1941
End of World War II,09/02/1945
First human on the Moon,07/20/1969
Fall of the Berlin Wall,11/09/1989
9/11 Terrorist Attacks,09/11/2001
